MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME POINTS,AWAY POINTS
September,Thu,30th,Four Marks A,Liss,145,155
October,Mon,7th,Liss,Bordon,189,63
,Thu,10th,Four Marks A,Petersfield,189,77
,Wed,23rd,Four Marks A,Four Marks B,189,114
November,Fri,8th,Petersfield,Liss,189,0
,Fri,15th,Petersfield,Bordon,189,35
December,Thu,5th,Four Marks A,Bordon,189,63
,Mon,9th,Bordon,Four Marks B,160,157
,Fri,13th,Petersfield,Four Marks A,106,189
,Mon,16th,Four Marks B,Petersfield,165,149
,Thu,19th,Four Marks B,Four Marks A,138,177
January,Mon,6th,Bordon,Liss,132,166
,Mon,13th,Liss,Four Marks A,122,173
February,Mon,3rd,Bordon,Petersfield,118,176
,Mon,17th,Liss,Petersfield,187,100
March,Fri,7th,Petersfield,Four Marks B,171,121
,Mon,17th,Bordon,Four Marks A,76,189
,Thu,20th,Four Marks B,Bordon,184,100
,Thu,27th,Four Marks B,Liss,189,0
April,Mon,7th,Liss,Four Marks B,189,103
